dyu,fr
[{'translation_text': 'he drinks de leaufr eaufr  he drinks de leaufr  waterfr  waterfr  waterfr  waterfr  waterfr  waterfr  waterfr  waterfr  waterfr  waterfr  waterfr  waterfr'}],il boit de l’eau
[{'translation_text': 'il se plaint toujoursfr il se plaint toujoursfr toujoursfr'}],il se plaint toujours
[{'translation_text': 'Quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chosefr quelque chose'}],quoi   quelque chose
[{'translation_text': 'Tous sortent saufé gubfretta '}],tous sortent excepté gubetta
"[{'translation_text': ""Ah c'est lui...fr il sonne... (il sonne) Ah, c'est lui... il sonne... (il sonne) Il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est là, il est""}]",ah   c’est lui… il sonne…
"[{'translation_text': ""et sans rapportfr et sans rapportfr et sans rapportfr et sans rapportfr entre deux personnes, il n'y a pas de rapport entre elles, il n'y a pas de rapport entre elles, il n'y a pas de rapport entre elles, il n'y a pas de rapport entre elles, il n'y a pas de rapport entre elles""}]",et sans rapport
"[{'translation_text': ""j'ai suffisamment d'orfr j'ai suffisamment d'orfr Je suis un homme riche, j'ai beaucoup d'or""}]",j'ai suffisamment d'or
[{'translation_text': 'Yes but in what purposefr yes but in what purposefr'}],oui   mais dans quel but
[{'translation_text': 'De grands gars fortsfrfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars fortsfr Les grands gars forts'}],de grands gars forts
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],un civil a été capturé
